site_id,loc_id,loc_isr
Akhziv,Akhziv,"Akhziv, Israel"
Akko2,Akko,"Akko, Israel"
Shikmona1,Shikmona,"Shikmona, Israel"
Shikmona2,Shikmona,"Shikmona, Israel"
Habonim1,Habonim,"Habonim, Israel"
Habonim2,Habonim,"Habonim, Israel"
Sdot-Yam,Sdot Yam,"Sdot Yam, Israel"
Michmoret 2,Michmoret,"Michmoret, Israel"
Bat-Yam,Bat Yam,"Bat Yam, Israel"
Palmachim,Palmachim,"Palmachim, Israel"
Rosh Hanikra,Rosh Hanikra,"Rosh Hanikra, Israel"
